original,uniformat,equivalent
"Rostow, W W",W W Rostow,"['Rostow, W W']"
"Wong, W",W Wong,"['Wong, W', 'Wong, Woon K.', 'Wong, Wai Chung', 'Wong, Wing Hung', 'Wong, Woon Weng', 'Wong, Wei-Kang']"
W. A. Mackintosh,W. A. Mackintosh,['W. A. Mackintosh']
W. A. Paton,W. A. Paton,['W. A. Paton']
W. A. Scott,W. A. Scott,"['W. A. Scott', 'William Amasa Scott', 'William A. Scott']"
"Spivey, W. Allen",W. Allen Spivey,"['Spivey, W. Allen']"
W. Arthur Lewis,W. Arthur Lewis,"['W. Arthur Lewis', 'Lewis, W Arthur']"
W. B. Reddaway,W. B. Reddaway,['W. B. Reddaway']
W. B. Smith,W. B. Smith,['W. B. Smith']
W. Beckerman,W. Beckerman,"['W. Beckerman', 'Beckerman, W', 'Beckerman, Wilfred']"
W. Bentley MacLeod,W. Bentley MacLeod,"['W. Bentley MacLeod', 'MacLeod, W Bentley', 'MacLeod, W B', 'MacLeod, W. Bentley']"
"Macleod, W. Bentley",W. Bentley Macleod,"['Macleod, W. Bentley', 'W. Bentley Macleod']"
W. Brian Arthur,W. Brian Arthur,"['W. Brian Arthur', 'Arthur, W B', 'Arthur, W Brian']"
W. Bruce Chew,W. Bruce Chew,['W. Bruce Chew']
W. C. Dodge,W. C. Dodge,['W. C. Dodge']
W. C. Haraldson,W. C. Haraldson,['W. C. Haraldson']
W. C. Keirstead,W. C. Keirstead,['W. C. Keirstead']
W. C. Kessler,W. C. Kessler,"['W. C. Kessler', 'William C. Kessler']"
W. C. Schluter,W. C. Schluter,['W. C. Schluter']
W. C. Webster,W. C. Webster,['W. C. Webster']
W. Colgrove Betts,W. Colgrove Betts,['W. Colgrove Betts']
W. D. Conklin,W. D. Conklin,['W. D. Conklin']
W. David Bradford,W. David Bradford,"['W. David Bradford', 'Bradford, William D']"
"Montgomery, W. David",W. David Montgomery,"['Montgomery, W. David', 'Montgomery, W David']"
"Dechert, W. Davis",W. Davis Dechert,"['Dechert, W. Davis', 'W. Davis Dechert']"
"McMillin, W. Douglas",W. Douglas McMillin,"['McMillin, W. Douglas', 'McMillin, W D', 'W. Douglas McMillin']"
W. E. Armstrong,W. E. Armstrong,['W. E. Armstrong']
W. E. Laird,W. E. Laird,['W. E. Laird']
W. E. Lunt,W. E. Lunt,['W. E. Lunt']
W. E. Rappard,W. E. Rappard,['W. E. Rappard']
"Erno Kuiper, W.",W. Erno Kuiper,"['Erno Kuiper, W.']"
"Diewert, W. Erwin",W. Erwin Diewert,"['Diewert, W. Erwin', 'Diewert, W E', 'Diewert, W. E.', 'Diewert, W Erwin', 'Erwin Diewert, W.', 'Diewert, Walter E', 'W. Erwin Diewert', 'W. E. Diewert']"
W. F. Gephart,W. F. Gephart,['W. F. Gephart']
W. F. Gossling,W. F. Gossling,['W. F. Gossling']
W. F. Sharpe,W. F. Sharpe,"['W. F. Sharpe', 'William F. Sharpe', 'Sharpe, William F', 'Sharpe, W F', 'Sharpe, William F.']"
"Shepherd, W. F.",W. F. Shepherd,"['Shepherd, W. F.', 'Shepherd, William']"
"Manning, W. G.",W. G. Manning,"['Manning, W. G.', 'Manning, Willard G, et al']"
W. G. S. Adams,W. G. S. Adams,"['W. G. S. Adams', 'Walter Adams', 'William James Adams', 'Adams, William James', 'Adams, Walter', 'William Adams']"
"Gaab, W.",W. Gaab,"['Gaab, W.']"
W. George Pinnell,W. George Pinnell,['W. George Pinnell']
W. Giles Mellon,W. Giles Mellon,"['W. Giles Mellon', 'Mellon, W. G.']"
W. Glenn Campbell,W. Glenn Campbell,['W. Glenn Campbell']
W. H. Allen,W. H. Allen,"['W. H. Allen', 'William H. Allen']"
W. H. Allport,W. H. Allport,['W. H. Allport']
W. H. Buckler,W. H. Buckler,['W. H. Buckler']
W. H. Hendron,W. H. Hendron,['W. H. Hendron']
W. H. Lough,W. H. Lough,['W. H. Lough']
W. H. Price,W. H. Price,"['W. H. Price', 'William H. Price']"
"Rogers, W. H.",W. H. Rogers,"['Rogers, W. H.', 'Rogers, William H.']"
W. H. S. Stevens,W. H. S. Stevens,"['W. H. S. Stevens', 'W. S. Stevens', 'William S. Stevens']"
"Somermeyer, W. H.",W. H. Somermeyer,"['Somermeyer, W. H.']"
W. H. Steiner,W. H. Steiner,['W. H. Steiner']
W. J. A.,W. J. A.,"['W. J. A.', 'Weymark John A.']"
W. J. Ashley,W. J. Ashley,['W. J. Ashley']
W. J. Corlett,W. J. Corlett,['W. J. Corlett']
W. J. Couper,W. J. Couper,['W. J. Couper']
W. J. Donald,W. J. Donald,"['W. J. Donald', 'W. J. A. Donald']"
W. J. Graham,W. J. Graham,['W. J. Graham']
"Smith, W. James",W. James Smith,"['Smith, W. James', 'Smith, W James']"
W. Jett Lauck,W. Jett Lauck,['W. Jett Lauck']
W. John Jordan,W. John Jordan,['W. John Jordan']
"Hughen, W. Keener",W. Keener Hughen,"['Hughen, W. Keener', 'W. Keener Hughen']"
"Kramer, W.",W. Kramer,"['Kramer, W.', 'Kramer, Walter, et al', 'Kramer, Walter']"
W. L. Mackenzie King,W. L. Mackenzie King,"['W. L. Mackenzie King', 'Willford I. King']"
W. Lexis,W. Lexis,['W. Lexis']
W. Lynn Holmes,W. Lynn Holmes,['W. Lynn Holmes']
W. M. Coleman,W. M. Coleman,"['W. M. Coleman', 'John Coleman, Wilbur II']"
W. M. Gorman,W. M. Gorman,"['W. M. Gorman', 'Gorman, W M']"
"Grais, W. M.",W. M. Grais,"['Grais, W. M.']"
W. M. Howard,W. M. Howard,"['W. M. Howard', 'William M. Howard']"
W. M. Stone,W. M. Stone,['W. M. Stone']
W. M. W. Splawn,W. M. W. Splawn,['W. M. W. Splawn']
"Crain, W. Mark",W. Mark Crain,"['Crain, W. Mark', 'Crain, W Mark']"
"Corden, W. Max",W. Max Corden,"['Corden, W. Max', 'W. M. Corden', 'Corden, W Max', 'Corden, W M', 'Corden, W. M.']"
W. MaxCorden,W. MaxCorden,['W. MaxCorden']
W. McDougall,W. McDougall,['W. McDougall']
"Cox, W. Michael",W. Michael Cox,"['Cox, W. Michael', 'Cox, William Michael', 'Michael Cox, W.', 'Cox, William']"
W. Michael Hanemann,W. Michael Hanemann,"['W. Michael Hanemann', 'Hanemann, W Michael']"
W. Michael Keenan,W. Michael Keenan,['W. Michael Keenan']
W. N. Peach,W. N. Peach,['W. N. Peach']
W. Neuefeind,W. Neuefeind,"['W. Neuefeind', 'Neuefeind, W.', 'Neuefeind, Wilhelm']"
W. O. Weyforth,W. O. Weyforth,['W. O. Weyforth']
"Okrasa, W.",W. Okrasa,"['Okrasa, W.']"
W. P. Hyson,W. P. Hyson,['W. P. Hyson']
"Spurlin, W. Paul",W. Paul Spurlin,"['Spurlin, W. Paul']"
"Strassman, W. Paul",W. Paul Strassman,"['Strassman, W. Paul']"
W. Paul Strassmann,W. Paul Strassmann,['W. Paul Strassmann']
W. R. Gray,W. R. Gray,['W. R. Gray']
W. R. S. Sutherland,W. R. S. Sutherland,"['W. R. S. Sutherland', 'Sutherland, W. R. S.']"
W. R. WaterS,W. R. WaterS,['W. R. WaterS']
W. Randolph Burgess,W. Randolph Burgess,['W. Randolph Burgess']
W. Reed Walker,W. Reed Walker,['W. Reed Walker']
W. Robert Brazelton,W. Robert Brazelton,['W. Robert Brazelton']
"Alexander, W. Robert J.",W. Robert J. Alexander,"['Alexander, W. Robert J.']"
"Reed, W. Robert",W. Robert Reed,"['Reed, W. Robert', 'Reed, W Robert', 'W. Robert Reed']"
W. Rupert Maclaurin,W. Rupert Maclaurin,['W. Rupert Maclaurin']
W. S. Barker,W. S. Barker,"['W. S. Barker', 'Walter S. Barker']"
W. S. Culbertson,W. S. Culbertson,['W. S. Culbertson']
W. S. Parker,W. S. Parker,['W. S. Parker']
W. S. Woytinsky,W. S. Woytinsky,['W. S. Woytinsky']
W. Scott Bauman,W. Scott Bauman,['W. Scott Bauman']
"Scott Frame, W.",W. Scott Frame,"['Scott Frame, W.', 'W. Scott Frame']"
W. T. Layton,W. T. Layton,['W. T. Layton']
W. T. M. Beale,W. T. M. Beale,['W. T. M. Beale']
W. Tate Whitman,W. Tate Whitman,['W. Tate Whitman']
"Harlow, W. V.",W. V. Harlow,"['Harlow, W. V.', 'Harlow, W V']"
"Van Rijckeghem, W.",W. Van Rijckeghem,"['Van Rijckeghem, W.']"
"Cooper, W. W.",W. W. Cooper,"['Cooper, W. W.', 'W. W. Cooper']"
W. W. Leontiep,W. W. Leontiep,['W. W. Leontiep']
W. W. Riefler,W. W. Riefler,"['W. W. Riefler', 'Winfield W. Riefler']"
W. Walker Hanlon,W. Walker Hanlon,['W. Walker Hanlon']
W. Warde Fowler,W. Warde Fowler,['W. Warde Fowler']
W. Warren McHone,W. Warren McHone,['W. Warren McHone']
W. Weight,W. Weight,['W. Weight']
W. Z. Ripley,W. Z. Ripley,"['W. Z. Ripley', 'William Z. Ripley']"
"Ho, W.-M.Wai-Ming",W.-M.Wai-Ming Ho,"['Ho, W.-M.Wai-Ming', 'Ho, Wai-Hong', 'Ho, Wai-Ming']"
"Griffiths, W.E.",W.E. Griffiths,"['Griffiths, W.E.', 'Griffiths, William', 'William E. Griffiths', 'Griffiths, William E.', 'Griffiths, W. E.']"
"Keller, W.J.",W.J. Keller,"['Keller, W.J.', 'Wolfgang Keller', 'Keller, Wouter J.', 'Keller, Wolfgang']"
"Azman-Saini, W.N.W.",W.N.W. Azman-Saini,"['Azman-Saini, W.N.W.']"
"Hann-Caruthers, Wade",Wade Hann-Caruthers,"['Hann-Caruthers, Wade']"
"Sewell, Wade P",Wade P Sewell,"['Sewell, Wade P']"
Waehrer Keith,Waehrer Keith,['Waehrer Keith']
"Rouatbi, Wael",Wael Rouatbi,"['Rouatbi, Wael']"
"Patrick, Waelbroeck",Waelbroeck Patrick,"['Patrick, Waelbroeck']"
"Gaglianone, Wagner Piazza",Wagner Piazza Gaglianone,"['Gaglianone, Wagner Piazza']"
"Haque, Wahidul",Wahidul Haque,"['Haque, Wahidul', 'W. Haque', 'Haque, W.']"
"Li, Wai Keung",Wai Keung Li,"['Li, Wai Keung']"
"Fong, Wai Mun",Wai Mun Fong,"['Fong, Wai Mun']"
Wai-Chung Lo,Wai-Chung Lo,['Wai-Chung Lo']
"Liu, Wai-Man",Wai-Man Liu,"['Liu, Wai-Man']"
"Fong, Wai-Ming",Wai-Ming Fong,"['Fong, Wai-Ming', 'Wai-Ming Fong']"
"Vandaele, Waiter",Waiter Vandaele,"['Vandaele, Waiter']"
Wakker Peter,Wakker Peter,['Wakker Peter']
"Watanabe, Wako",Wako Watanabe,"['Watanabe, Wako']"
Waldo F. Mitchell,Waldo F. Mitchell,['Waldo F. Mitchell']
"Areosa, Waldyr Dutra",Waldyr Dutra Areosa,"['Areosa, Waldyr Dutra']"
"Ben Omrane, Walid",Walid Ben Omrane,"['Ben Omrane, Walid']"
"Mensi, Walid",Walid Mensi,"['Mensi, Walid']"
"Saffar, Walid",Walid Saffar,"['Saffar, Walid']"
"Busaba, Walid Y.",Walid Y. Busaba,"['Busaba, Walid Y.']"
Walker Mark,Walker Mark,['Walker Mark']
"Oates, Wallace E",Wallace E Oates,"['Oates, Wallace E', 'Oates, Wallace E.', 'Wallace E. Oates']"
Wallace E. Belcher,Wallace E. Belcher,['Wallace E. Belcher']
Wallace E. Huffman,Wallace E. Huffman,"['Wallace E. Huffman', 'Huffman, Wallace E']"
"Hendricks, Wallace",Wallace Hendricks,"['Hendricks, Wallace', 'Hendricks, Wallace E', 'Wallace Hendricks']"
Wallace I. Edwards,Wallace I. Edwards,['Wallace I. Edwards']
"Davidson, Wallace III",Wallace III Davidson,"['Davidson, Wallace III']"
Wallace K. C. Mok,Wallace K. C. Mok,['Wallace K. C. Mok']
"Davidson, Wallace N.",Wallace N. Davidson,"['Davidson, Wallace N.', 'Davidson, Wallace N, III']"
"Davidson III, Wallace N.",Wallace N. Davidson III,"['Davidson III, Wallace N.']"
Wallace P. Mors,Wallace P. Mors,['Wallace P. Mors']
Wallace P. Mullin,Wallace P. Mullin,['Wallace P. Mullin']
"McKibben, Walt",Walt McKibben,"['McKibben, Walt']"
Walter A. Morton,Walter A. Morton,['Walter A. Morton']
Walter A. Weisskopf,Walter A. Weisskopf,"['Walter A. Weisskopf', 'Weisskopf, Walter A']"
"Armbruster, Walter",Walter Armbruster,"['Armbruster, Walter']"
Walter Beckert,Walter Beckert,['Walter Beckert']
"Block, Walter",Walter Block,"['Block, Walter']"
Walter Bossert,Walter Bossert,"['Walter Bossert', 'Bossert, Walter']"
"Briec, Walter",Walter Briec,"['Briec, Walter']"
Walter C. Neale,Walter C. Neale,['Walter C. Neale']
Walter C. Nelson,Walter C. Nelson,['Walter C. Nelson']
"Fisher, Walter D",Walter D Fisher,"['Fisher, Walter D', 'Fisher, Walter D.']"
"Distaso, Walter",Walter Distaso,"['Distaso, Walter', 'Walter Distaso']"
"Dolde, Walter",Walter Dolde,"['Dolde, Walter']"
"Williams, Walter E",Walter E Williams,"['Williams, Walter E', 'Walter Williams']"
Walter Egle,Walter Egle,['Walter Egle']
Walter Elkan,Walter Elkan,['Walter Elkan']
"Eltis, Walter",Walter Eltis,"['Eltis, Walter', 'Eltis, W A']"
"Enders, Walter",Walter Enders,"['Enders, Walter', 'Walter Enders']"
Walter F. Stettner,Walter F. Stettner,['Walter F. Stettner']
Walter F. Willcox,Walter F. Willcox,['Walter F. Willcox']
"Farkas, Walter",Walter Farkas,"['Farkas, Walter']"
"Freed, Walter",Walter Freed,"['Freed, Walter']"
Walter Galenson,Walter Galenson,['Walter Galenson']
"Fisher, Walter H",Walter H Fisher,"['Fisher, Walter H']"
Walter H. Mallory,Walter H. Mallory,['Walter H. Mallory']
"Hettich, Walter",Walter Hettich,"['Hettich, Walter']"
"Hlawitschka, Walter",Walter Hlawitschka,"['Hlawitschka, Walter']"
Walter Hyll,Walter Hyll,['Walter Hyll']
"Muller, Walter III",Walter III Muller,"['Muller, Walter III']"
"Isard, Walter",Walter Isard,"['Isard, Walter', 'Walter Isard']"
"Mead, Walter J",Walter J Mead,"['Mead, Walter J']"
"Primeaux, Walter J, Jr",Walter J Primeaux,"['Primeaux, Walter J, Jr']"
"Reinhart, Walter J",Walter J Reinhart,"['Reinhart, Walter J']"
"Wadycki, Walter J",Walter J Wadycki,"['Wadycki, Walter J']"
"Wessels, Walter J",Walter J Wessels,"['Wessels, Walter J']"
"Mayer, Walter J.",Walter J. Mayer,"['Mayer, Walter J.']"
Walter J. Sedwitz,Walter J. Sedwitz,['Walter J. Sedwitz']
"Johnson, Walter",Walter Johnson,"['Johnson, Walter']"
"Ness, Walter Jr.",Walter Jr. Ness,"['Ness, Walter Jr.']"
"Korpi, Walter",Walter Korpi,"['Korpi, Walter']"
"Krämer, Walter",Walter Krämer,"['Krämer, Walter']"
"Eckardt, Walter L, Jr",Walter L Eckardt,"['Eckardt, Walter L, Jr']"
Walter L. Fisher,Walter L. Fisher,['Walter L. Fisher']
Walter Lichtenstein,Walter Lichtenstein,['Walter Lichtenstein']
Walter M. Adriance,Walter M. Adriance,['Walter M. Adriance']
Walter Muhlbach,Walter Muhlbach,['Walter Muhlbach']
"Thurman, Walter N",Walter N Thurman,"['Thurman, Walter N', 'Walter N. Thurman']"
"Nicholson, Walter",Walter Nicholson,"['Nicholson, Walter', 'Walter Nicholson']"
Walter Nonneman,Walter Nonneman,['Walter Nonneman']
"Novaes, Walter",Walter Novaes,"['Novaes, Walter', 'Walter Novaes']"
"Oberhofer, Walter",Walter Oberhofer,"['Oberhofer, Walter', 'Oberhofer, W']"
"Orth, Walter",Walter Orth,"['Orth, Walter']"
"Heller, Walter P",Walter P Heller,"['Heller, Walter P', 'Walter Perrin Heller', 'Heller, W. P.', 'Heller, Walter P.', 'Heller, Walter Perrin', 'Walter P. Heller']"
"Page, Walter P",Walter P Page,"['Page, Walter P']"
Walter P. Falcon,Walter P. Falcon,['Walter P. Falcon']
"McManus, Walter S",Walter S McManus,"['McManus, Walter S', 'McManus, Walter']"
"Salant, Walter S",Walter S Salant,"['Salant, Walter S', 'Walter S. Salant']"
"Schwaiger, Walter S. A.",Walter S. A. Schwaiger,"['Schwaiger, Walter S. A.', 'Schwaiger, Walter S.A.']"
Walter S. Buckingham Jr.,Walter S. Buckingham Jr.,['Walter S. Buckingham Jr.']
Walter S. Tower,Walter S. Tower,['Walter S. Tower']
"Sosa-Escudero, Walter",Walter Sosa-Escudero,"['Sosa-Escudero, Walter']"
"Newlyn, Walter T",Walter T Newlyn,"['Newlyn, Walter T', 'Newlyn, Walter']"
"Torous, Walter",Walter Torous,"['Torous, Walter', 'Torous, Walter N.', 'Walter N. Torous', 'Walter Torous', 'Torous, Walter N']"
Walter Trockel,Walter Trockel,"['Walter Trockel', 'Trockel, Walter']"
"Vandaele, Walter",Walter Vandaele,"['Vandaele, Walter']"
"Heller, Walter W",Walter W Heller,"['Heller, Walter W', 'Walter W. Heller']"
"McMahon, Walter W",Walter W McMahon,"['McMahon, Walter W', 'Walter W. McMahon']"
Walter W. Brudno,Walter W. Brudno,['Walter W. Brudno']
Walter W. Haines,Walter W. Haines,['Walter W. Haines']
Walter W. Stewart,Walter W. Stewart,"['Walter W. Stewart', 'Walter Stewart']"
Walter W. Wilcox,Walter W. Wilcox,['Walter W. Wilcox']
"Wasserfallen, Walter",Walter Wasserfallen,"['Wasserfallen, Walter']"
Walter Y. Oi,Walter Y. Oi,"['Walter Y. Oi', 'Oi, Walter Y', 'Oi, Walter Y.']"
Walther Lotz,Walther Lotz,['Walther Lotz']
Walton H. Hamilton,Walton H. Hamilton,['Walton H. Hamilton']
"Wilford, Walton T",Walton T Wilford,"['Wilford, Walton T']"
"Taylor, Walton",Walton Taylor,"['Taylor, Walton']"
"Wane, Waly",Waly Wane,"['Wane, Waly', 'Waly Wane']"
Wan Wongsunwai,Wan Wongsunwai,['Wan Wongsunwai']
"Chu, Wan-Wen",Wan-Wen Chu,"['Chu, Wan-Wen']"
"Lin, Wanchuan",Wanchuan Lin,"['Lin, Wanchuan']"
"Jiang, Wang",Wang Jiang,"['Jiang, Wang']"
Wang Susheng,Wang Susheng,['Wang Susheng']
Wang Tan,Wang Tan,['Wang Tan']
Wang Yong,Wang Yong,['Wang Yong']
Wankeun Oh,Wankeun Oh,['Wankeun Oh']
Wanli Zhao,Wanli Zhao,"['Wanli Zhao', 'Zhao, Wanli']"
"Chung, Wanyu",Wanyu Chung,"['Chung, Wanyu']"
Ward A. Cutler,Ward A. Cutler,['Ward A. Cutler']
"Brown, Ward",Ward Brown,"['Brown, Ward']"
"Romp, Ward E.",Ward E. Romp,"['Romp, Ward E.']"
"Curran, Ward S",Ward S Curran,"['Curran, Ward S']"
"Whitt, Ward",Ward Whitt,"['Whitt, Ward']"
Warner Fite,Warner Fite,['Warner Fite']
"Flick, Warren A",Warren A Flick,"['Flick, Warren A']"
"Bailey, Warren",Warren Bailey,"['Bailey, Warren', 'Warren Bailey', 'Bailey, Warren Bernard']"
"Whatley, Warren C",Warren C Whatley,"['Whatley, Warren C', 'Warren Whatley', 'Warren C. Whatley']"
Warren C. Robinson,Warren C. Robinson,"['Warren C. Robinson', 'Robinson, Warren C']"
Warren C. Scoville,Warren C. Scoville,"['Warren C. Scoville', 'Warren Scoville']"
"Dent, Warren",Warren Dent,"['Dent, Warren', 'Dent, Warren T', 'Dent, Warren T.']"
Warren E. Johnston,Warren E. Johnston,['Warren E. Johnston']
Warren E. Weber,Warren E. Weber,"['Warren E. Weber', 'Weber, Warren E', 'Weber, Warren E.']"
Warren F. Doane,Warren F. Doane,['Warren F. Doane']
"Schwartz, Warren F.",Warren F. Schwartz,"['Schwartz, Warren F.']"
Warren Hrung,Warren Hrung,"['Warren Hrung', 'Warren B. Hrung', 'Hrung, Warren B.']"
Warren J. Gustus,Warren J. Gustus,['Warren J. Gustus']
Warren J. Samuels,Warren J. Samuels,['Warren J. Samuels']
"Coats, Warren L, Jr",Warren L Coats,"['Coats, Warren L, Jr']"
"Jones, Warren L",Warren L Jones,"['Jones, Warren L']"
"Smith, Warren L",Warren L Smith,"['Smith, Warren L', 'Warren L. Smith']"
Warren M. Persons,Warren M. Persons,['Warren M. Persons']
Warren S. Gramm,Warren S. Gramm,['Warren S. Gramm']
"Sanderson, Warren",Warren Sanderson,"['Sanderson, Warren']"
Warwick J. McKibbin,Warwick J. McKibbin,"['Warwick J. McKibbin', 'McKibbin, Warwick J', 'McKibbin, Warwick J.']"
Wasin Siwasarit,Wasin Siwasarit,['Wasin Siwasarit']
Wassily W. Leontief,Wassily W. Leontief,"['Wassily W. Leontief', 'Wassily Leontief', 'Leontief, Wassily', 'W. Leontief']"
"Shahin, Wassim",Wassim Shahin,"['Shahin, Wassim']"
"Miyamoto, Wataru",Wataru Miyamoto,"['Miyamoto, Wataru']"
"Ohta, Wataru",Wataru Ohta,"['Ohta, Wataru']"
"Suriastini, Wayan",Wayan Suriastini,"['Suriastini, Wayan']"
"Fuller, Wayne A.",Wayne A. Fuller,"['Fuller, Wayne A.', 'Fuller, Wayne A']"
Wayne A. Grove,Wayne A. Grove,['Wayne A. Grove']
Wayne A. Leeman,Wayne A. Leeman,['Wayne A. Leeman']
"Gray, Wayne B",Wayne B Gray,"['Gray, Wayne B']"
"Ferson, Wayne",Wayne Ferson,"['Ferson, Wayne', 'Ferson, Wayne E.', 'Wayne Ferson', 'Wayne E. Ferson', 'Ferson, Wayne E']"
"Mikkelson, Wayne H",Wayne H Mikkelson,"['Mikkelson, Wayne H', 'Mikkelson, Wayne H.']"
"Shafer, Wayne J",Wayne J Shafer,"['Shafer, Wayne J', 'Shafer, Wayne J.', 'Shafer, Wayne']"
"Joerding, Wayne",Wayne Joerding,"['Joerding, Wayne']"
Wayne K. Talley,Wayne K. Talley,['Wayne K. Talley']
"Lee, Wayne L",Wayne L Lee,"['Lee, Wayne L']"
"Passmore, Wayne",Wayne Passmore,"['Passmore, Wayne']"
Wayne R. Guay,Wayne R. Guay,"['Wayne R. Guay', 'Guay, Wayne R.', 'Guay, Wayne', 'Wayne Guay']"
Wayne R. Landsman,Wayne R. Landsman,"['Wayne R. Landsman', 'Landsman, Wayne R.']"
"Chow, Wayne S",Wayne S Chow,"['Chow, Wayne S']"
"DeSarbo, Wayne S.",Wayne S. DeSarbo,"['DeSarbo, Wayne S.']"
"Shaw, Wayne",Wayne Shaw,"['Shaw, Wayne', 'Shaw, Wayne H.', 'Shaw, Wayne H', 'Wayne H. Shaw']"
"Sigelko, Wayne",Wayne Sigelko,"['Sigelko, Wayne']"
"Simpson, Wayne",Wayne Simpson,"['Simpson, Wayne']"
Wayne Strayer,Wayne Strayer,['Wayne Strayer']
"Thirsk, Wayne",Wayne Thirsk,"['Thirsk, Wayne', 'Thirsk, Wayne R.']"
"Vroman, Wayne",Wayne Vroman,"['Vroman, Wayne', 'Wayne Vroman']"
"Snyder, Wayne W.",Wayne W. Snyder,"['Snyder, Wayne W.', 'Snyder, Wayne W']"
"Yu, Wayne W.",Wayne W. Yu,"['Yu, Wayne W.']"
"Lee, Wayne Y.",Wayne Y. Lee,"['Lee, Wayne Y.', 'Lee, Wayne Y']"
"Gao, Wayne Yuan",Wayne Yuan Gao,"['Gao, Wayne Yuan']"
"Gayle, Wayne-Roy",Wayne-Roy Gayle,"['Gayle, Wayne-Roy']"
"Lu, WeLi",WeLi Lu,"['Lu, WeLi', 'Lu, W.']"
Weber Shlomo,Weber Shlomo,['Weber Shlomo']
"Kilenthong, Weerachart T.",Weerachart T. Kilenthong,"['Kilenthong, Weerachart T.']"
"Wu, Wei Biao",Wei Biao Wu,"['Wu, Wei Biao']"
Wei Cui,Wei Cui,"['Wei Cui', 'Cui, Wei']"
"Dong, Wei",Wei Dong,"['Dong, Wei']"
"Fan, Wei",Wei Fan,"['Fan, Wei']"
"Guan, Wei",Wei Guan,"['Guan, Wei']"
"Hao, Wei",Wei Hao,"['Hao, Wei']"
"He, Wei",Wei He,"['He, Wei']"
"Cu, Wei Hua",Wei Hua Cu,"['Cu, Wei Hua']"
"Huang, Wei",Wei Huang,"['Huang, Wei', 'Wei Huang']"
Wei Jiang,Wei Jiang,"['Wei Jiang', 'Jiang, Wei']"
"Lan, Wei",Wei Lan,"['Lan, Wei']"
"Li, Wei",Wei Li,"['Li, Wei', 'Wei Li']"
"Liao, Wei",Wei Liao,"['Liao, Wei']"
"Lin, Wei",Wei Lin,"['Lin, Wei']"
"Liu, Wei",Wei Liu,"['Liu, Wei']"
"Long, Wei",Wei Long,"['Long, Wei']"
"Shi, Wei",Wei Shi,"['Shi, Wei']"
"Wang, Wei",Wei Wang,"['Wang, Wei', 'Wang, Wei Siang', 'Wei Wang']"
"Xiao, Wei",Wei Xiao,"['Xiao, Wei']"
"Xiong, Wei",Wei Xiong,"['Xiong, Wei', 'Wei Xiong']"
"Xu, Wei",Wei Xu,"['Xu, Wei']"
"Yang, Wei",Wei Yang,"['Yang, Wei', 'Wei Yang']"
"Yu, Wei",Wei Yu,"['Yu, Wei']"
"Zhang, Wei",Wei Zhang,"['Zhang, Wei']"
"Zhang, Wei-Bin",Wei-Bin Zhang,"['Zhang, Wei-Bin']"
"Tsai, Wei-Che",Wei-Che Tsai,"['Tsai, Wei-Che']"
"Liu, Wei-Lin",Wei-Lin Liu,"['Liu, Wei-Lin']"
Wei-Ling Song,Wei-Ling Song,"['Wei-Ling Song', 'Song, Wei-Ling']"
"Lee, Wei-Ming",Wei-Ming Lee,"['Lee, Wei-Ming']"
"Juang, Wei-Torng",Wei-Torng Juang,"['Juang, Wei-Torng']"
Wei-Yin Hu,Wei-Yin Hu,"['Wei-Yin Hu', 'Hu, Wei-Yin']"
"Kuo, Wei-Yu",Wei-Yu Kuo,"['Kuo, Wei-Yu', 'Wei-Yu Kuo']"
"Tan, Wei-Yuan",Wei-Yuan Tan,"['Tan, Wei-Yuan']"
"Liu, Wei-han",Wei-han Liu,"['Liu, Wei-han']"
"Lu, WeiLi",WeiLi Lu,"['Lu, WeiLi', 'Lu, W.']"
"Xu, Weibiao",Weibiao Xu,"['Xu, Weibiao']"
"Wang, Weicheng",Weicheng Wang,"['Wang, Weicheng']"
Weidong Tian,Weidong Tian,['Weidong Tian']
"Song, Weihong",Weihong Song,"['Song, Weihong', 'Weihong Song']"
Weili Ding,Weili Ding,['Weili Ding']
"Lu, Weili",Weili Lu,"['Lu, Weili']"
"Wu, Weili",Weili Wu,"['Wu, Weili']"
"Zhou, Weili",Weili Zhou,"['Zhou, Weili']"
Weimin Liu,Weimin Liu,"['Weimin Liu', 'Liu, Weimin']"
"Wang, Weimin",Weimin Wang,"['Wang, Weimin']"
"Li, Weiming",Weiming Li,"['Li, Weiming']"
"Zhou, Weina",Weina Zhou,"['Zhou, Weina']"
"Wang, Weining",Weining Wang,"['Wang, Weining']"
"Zhang, Weining",Weining Zhang,"['Zhang, Weining']"
"Li, Weiping",Weiping Li,"['Li, Weiping']"
"Tan, Weiqiang",Weiqiang Tan,"['Tan, Weiqiang']"
"Wang, Weiren",Weiren Wang,"['Wang, Weiren']"
"Wang, Weishen",Weishen Wang,"['Wang, Weishen']"
Weiss Jeffrey H.,Weiss Jeffrey H.,['Weiss Jeffrey H.']
Weiwen Xiong,Weiwen Xiong,['Weiwen Xiong']
"He, Wen",Wen He,"['He, Wen']"
"Mao, Wen",Wen Mao,"['Mao, Wen']"
"Chern, Wen S",Wen S Chern,"['Chern, Wen S']"
"Yu, Wen",Wen Yu,"['Yu, Wen']"
"Xie, Wen Zhi",Wen Zhi Xie,"['Xie, Wen Zhi']"
"Zhou, Wen",Wen Zhou,"['Zhou, Wen']"
"Lin, Wen-Chun",Wen-Chun Lin,"['Lin, Wen-Chun']"
